,0,1,2,3,4,5,6,7
80,11:45,5/3/11,Issaquah,WA,Circle,2 hrs,At first it looked like a large blinking star; it was lights flickering in a circular motion. ((NUFORC Note: Twinkling star?? PD)),5/12/11
81,05:20,5/3/11,Tulsa,OK,Light,2 seconds,Fast moving low flying bright object makes path across south Tulsa neighborhood,5/12/11
82,23:30,5/2/11,Riverwoods,IL,Circle,3,May 2nd 2011 UFO sightings,5/12/11
83,21:56,5/2/11,Loveland,CO,Light,Driving,Light seen near Colorado air port,5/12/11
84,21:30,5/2/11,Brainerd,MN,Light,at least 15 minutes,Two lights that hovered and moved irregularly far off in the distance.,5/12/11
85,21:30,5/2/11,Santa Monica,CA,Formation,40 minutes,Mulitple successive nighttime formations of round unlit objects in V formations at speed.,5/12/11
86,21:00,5/2/11,Santa Monica,CA,Triangle,1 fly over,looked like stealth bomber,5/12/11
87,21:00,5/2/11,Presidio,TX,Formation,2 hrs,"BRIGHT LINE OF LIGHTS OVER THE MOUNTAINS, ((NUFORC Note: Possibly ""twinkling"" stars? PD))",5/12/11
88,21:00,5/2/11,Arcadia,FL,Formation,15 to 20 minutes,Formation of unknown orbs appear to be in unison,5/12/11
89,20:40,5/2/11,Lakeland,FL,Other,,"Bright objects hovering over Lakeland, Florida near Auburndale",5/12/11
90,23:00,4/30/11,Kenilworth,NJ,Circle,aprox 1 hr,White light spliting into 3 over Kenilworth NJ,5/12/11
91,09:00,4/30/11,Pennellville,NY,Light,1 minute,A small orange yellow light was spotted over the fast track store on 264 wile we were heading southbound seen for 1 minute while headi,5/12/11
92,02:00,4/30/11,Owensboro,KY,Sphere,10-15 seconds,slow moving ball of light (almost white with a little yellow) 10 feet off ground flew over my shoulder at night,5/12/11
93,00:05,4/30/11,Yakima,WA,Light,3 min,Bright light,5/12/11
94,22:40,4/29/11,Douglas Creek,WA,Unknown,3 minutes,"Bright star-like light makes radical movement above Douglas Creek, Washington on April 29th, 2011. ((NUFORC Note: ISS. PD))",5/12/11
95,20:40,4/29/11,San Jose,CA,Circle,5 mintues,UFO orb seen over san jose ca.,5/12/11
96,11:15,4/28/11,Southlake,TX,Other,6 seconds,"Southlake, Tx: Crescent shaped, white light clearly observed gliding through the sky.",5/12/11
97,22:00,4/25/11,Dallas,TX,Triangle,3 minutes,An event I thought was awesome!,5/12/11
98,20:35,4/23/11,Orland,CA,Light,1 minute,Yellow-white light hovers before speeding off into the night sky,5/12/11
99,21:00,4/17/11,Greensboro,NC,Light,about 2 minutes,It was a slow moving bright white light heading north,5/12/11
100,22:30,4/16/11,Chateauroux (France),,Triangle,2 minutes,3 red lights in a triangle formation seen in the French sky,5/12/11
101,04:40,4/14/11,Goodyear,AZ,Triangle,5 minutes,Triangle shaped lights flying over outskirts of Phoenix from SSW to NNE at 0440am.,5/12/11
102,21:54,4/7/11,Stamford,CT,Sphere,2 Seconds,Amber spherical object,5/12/11
103,01:00,4/6/11,Mystic,CT,Triangle,5-6 mins,I saw a triangle ufo in the Mystic ct hotel area.,5/12/11
104,03:00,4/5/11,Grand Rapids,MI,,1.5minutes,"((HOAX??)) At 3am I let my Boxer, Buster, out. I was standing in the doorway waiting for him when I saw a little “ET” run.",5/12/11
105,21:00,4/1/11,Lakewood,CO,Triangle,20 sec,"My husband, son and I were outside and my husband said what the **** is that? So my son and I stood up and I noticed a triangle shape o",5/12/11
106,22:00,11/15/10,Berlin Township (just east of S.Rockwood),MI,Fireball,2-3 minutes,"Single fireball traveling SE, became comp stationary for aprox 45sec then fizld out slowly,no visable debree, clear night sky.LE coast.",5/12/11
107,22:00,11/15/10,Berlin Township (just east of South Rockwood),MI,Fireball,2-3 minutes,"Fireball moving across sky characteristic of an airplane stops stays stationary then fades out slowly, no visable debris",5/12/11
108,20:40,10/13/10,Grandview,MO,Chevron,1 minute,"V-Shaped aircraft moving slow and low. 5 glowing lights underneath. No cockpit, or fusilage",5/12/11
109,03:50,9/18/10,Eagle Rock,CA,Sphere,10 seconds,"Glowing Sphere over Eagle Rock, CA",5/12/11
110,01:00,6/15/10,Mount Vernon,WA,Light,2-3 hours,"Bright lights with flashes, changing direction, color and speed over a very large area of the sky.",5/12/11
111,21:00,5/12/10,Keokuk,IA,Light,10 sec,We were just sitting there at my brothers right after dark. When we saw what look like a light larger then any star in the sky. It appe,5/12/11
112,02:10,5/9/10,Edmonton (Canada),AB,Fireball,8 secs,"Fireball streaks across night sky, makes right angle turn and disappears.",5/12/11
113,09:00,10/9/09,New York,NY,Circle,,((HOAX??)) I saw whiteflashing lghts that where ufis i saw about 12 of them,5/12/11
114,11:20,2/28/09,Phoenix (above; in-flight sighting),AZ,Circle,5 seconds,"small, silver ball with red light/glow low altitude",5/12/11
115,01:15,8/20/07,Lagrange,NY,Diamond,5 min,Diamond shaped ufo,5/12/11
116,12:00,11/9/05,Tukwila,WA,Disk,several months,"((HOAX??)) Appeared solid, silver metallic, soundless, moved quickly and with precision.",5/12/11
117,21:00,5/7/05,Mexico City (D.F.) (Mexico),,Light,1 minute,Red lights in the sky.,5/12/11
118,15:00,9/21/02,Monett,AR,Sphere,,A white object raceing over Monett towards Manila,5/12/11
119,20:10,10/10/01,Vancouver (Canada),BC,Other,+5 Minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/11
120,23:30,7/20/97,Beaver Island,MI,Triangle,5 - 10 min.,Myself and a relative witness a strange craft while stargazing on a small island in lake michigan.,5/12/11
121,20:00,8/15/95,Connecticut (unspecifice),CT,Triangle,5-10 minutes,"Large, triangle, black, 10 lights, slow moving, no noise, cant remeber much but would like to know what i saw.",5/12/11
122,21:00,6/1/95,Homestead,FL,Triangle,10 minutes,triangle lights with a flash slow moving no sound,5/12/11
123,20:00,6/1/90,Delta,LA,Cigar,Just a few seconds,"I was driving when I thought I was about to witness a plane crash, then it disappeared.",5/12/11
124,01:30,7/29/87,Edmonton (Canada),AB,Triangle,3 minutes,"large black triangular shape had three lights red, white and blue, hovered a few minutes, no sound…",5/12/11
125,20:30,12/15/86,Attleboro,MA,Disk,2 minutes,"large disc, no more than 80ft above our car, 4 witnesses, 2 full minute sighting",5/12/11
